num;nome;posto;Posto jusante;Quantos a montante?;Posto montante 1;Posto montante 2;Posto montante 3;Posto montante 4;Posto montante 5;Posto montante 6
99;14 DE JULHO;284;999;1;97;999;999;999;999;999
18;A. VERMELHA;18;44;1;17;999;999;999;999;999
47;A.A. LAYDNER;47;48;0;999;999;999;999;999;999
16;A.S.OLIVEIRA;16;17;1;15;999;999;999;999;999
38;A.SOUZA LIMA;38;39;1;37;999;999;999;999;999
258;AGUA LIMPA;106;359;0;999;999;999;999;999;999
143;AIMORES;148;144;1;141;999;999;999;999;999
578;APERTADOS;578;579;1;577;999;999;999;999;999
312;B. COQUEIROS;248;261;1;247;999;999;999;999;999
190;B. ESPERANCA;190;999;0;999;999;999;999;999;999
314;B.MONTE COMP;302;999;0;999;999;999;999;999;999
141;BAGUARI;141;534;3;263;149;183;999;999;999
83;BAIXO IGUACU;81;999;1;222;999;999;999;999;999
277;BALBINA;269;999;0;999;999;999;999;999;999
37;BARRA BONITA;37;38;0;999;999;999;999;999;999
86;BARRA GRANDE;215;217;1;999;999;999;999;999;999
20;BATALHA;22;251;0;999;999;999;999;999;999
288;BELO MONTE;288;999;0;999;999;999;999;999;999
339;BEM QUERER;339;999;1;999;999;999;999;999;999
204;CACH CALDEIR;204;280;0;999;999;999;999;999;999
32;CACH DOURADA;32;33;1;31;999;999;999;999;999
14;CACONDE;14;15;0;999;999;999;999;999;999
311;CACU;247;248;0;999;999;999;999;999;999
1;CAMARGOS;1;2;0;999;999;999;999;999;999
90;CAMPOS NOVOS;216;217;1;89;999;999;999;999;999
252;CANA BRAVA;191;253;1;270;999;999;999;999;999
139;CANDONGA;149;141;0;999;999;999;999;999;999
52;CANOAS I;52;61;1;51;999;999;999;999;999
51;CANOAS II;51;52;1;50;999;999;999;999;999
27;CAPIM BRANC1;207;28;1;206;999;999;999;999;999
28;CAPIM BRANC2;28;31;1;207;999;999;999;999;999
61;CAPIVARA;61;62;2;52;57;999;999;999;999
409;CASTANHEIRA;409;411;0;999;999;999;999;999;999
97;CASTRO ALVES;98;97;0;999;999;999;999;999;999
49;CHAVANTES;49;249;1;48;999;999;999;999;999
280;COARA NUNES;280;297;1;204;999;999;999;999;999
228;COLIDER;228;229;1;227;999;999;999;999;999
577;COMISSARIO;577;578;0;999;999;999;999;999;999
176;COMP PAF-MOX;176;178;1;172;999;999;999;999;999
30;CORUMBA I;209;31;1;23;999;999;999;999;999
203;CORUMBA III;23;209;1;205;999;999;999;999;999
29;CORUMBA IV;205;23;0;999;999;999;999;999;999
272;CURUA-UNA;277;999;0;999;999;999;999;999;999
114;D. FRANCISCA;114;999;1;113;999;999;999;999;999
310;DARDANELOS;291;347;0;999;999;999;999;999;999
23;DAVINOPOLIS;223;24;0;999;999;999;999;999;999
24;EMBORCACAO;24;31;2;223;251;999;999;999;999
579;ERCILANDIA;579;580;1;578;999;999;999;999;999
290;ESPORA;99;44;0;999;999;999;999;999;999
8;ESTREITO GDE;8;9;1;7;999;999;999;999;999
267;ESTREITO TOC;271;274;1;273;999;999;999;999;999
15;EUCLID CUNHA;15;16;1;14;999;999;999;999;999
284;FERREIRA GOM;297;999;1;280;999;999;999;999;999
132;FONTES;303;306;1;999;999;999;999;999;999
103;FOZ CHAPECO;94;105;2;92;220;999;999;999;999
580;FOZ PIQUIRI;580;999;1;579;999;999;999;999;999
315;FOZ R CLARO;261;44;1;248;999;999;999;999;999
72;FUNDAO;72;70;1;71;999;999;999;999;999
4;FUNIL GRANDE;211;6;1;2;999;999;999;999;999
123;FUNIL PB SUL;123;131;2;120;122;999;999;999;999
6;FURNAS;6;7;1;211;999;999;999;999;999
