Nome Newave;Nome;N_usina;Posto;
APERTADOS;APERTADOS;578;578;
BEM QUERER;BEM QUERER;339;339;
CASTANHEIRA;CASTANHEIRA;409;409;
COMISSARIO;COMISSÁRIO;577;577;
DAVINOPOLIS;DAVINÓPOLIS;23;223;hidr.dat
ERCILANDIA;ERCILÂNDIA;579;579;
TABAJARA;TABAJARA;340;340;
TELEM BORBA;TELEM. BORBA;56;56;
FORMOSO;FORMOSO;493;493;hidr.dat
SAO ROQUE;SÃO ROQUE;88;88;
BAIXO IGUACU;BAIXO IGUAÇU;83;81;
COLIDER;COLIÍDER;228;228;
SINOP;SINOP;227;227;
SAO MANOEL;SÃO MANOEL;230;230;
SALTO APIACAS;SALTO APIACÁS;225;225;hidr.dat
TIBAGI MONT;TIBAGI MONT.;55;55;
